ERROR:root:No matching object found .DS_Store
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0078 smith:357834
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0079 smith:357833
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0080 smith:357832
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0081 smith:357831
INFO:root:One matching object found smith_ssc_324_wp_v016_n012_p0082 smith:357830
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0001 smith:358070
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0002 smith:358137
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0003 smith:358136
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0004 smith:358135
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0005 smith:358134
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0006 smith:358133
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0007 smith:358132
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0008 smith:358131
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0009 smith:358130
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0010 smith:358129
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0011 smith:358128
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0012 smith:358127
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0013 smith:358126
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0014 smith:358125
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0015 smith:358124
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0016 smith:358123
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0017 smith:358122
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0018 smith:358121
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0019 smith:358120
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0020 smith:358119
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0021 smith:358118
INFO:root:One matching object found smith_ssc_324_wp_v017_n001_p0022 smith:358117
